收入	消费	余额	消费收入	余额百元
800	561	239	0.70125	2.39
800	594	206	0.7425	2.06
800	627	173	0.78375	1.73
800	638	162	0.7975	1.62
1100	638	462	0.58	4.62
1100	748	352	0.68	3.52
1100	814	286	0.74	2.86
1100	847	253	0.77	2.53
1100	935	165	0.85	1.65
1100	968	132	0.88	1.32
1400	869	531	0.620714286	5.31
1400	913	487	0.652142857	4.87
1400	924	476	0.66	4.76
1400	979	421	0.699285714	4.21
1400	1012	388	0.722857143	3.88
1400	1045	355	0.746428571	3.55
1400	1078	322	0.77	3.22
1400	1122	278	0.801428571	2.78
1400	1155	245	0.825	2.45
1400	1188	212	0.848571429	2.12
1400	1210	190	0.864285714	1.9
1700	1023	677	0.601764706	6.77
1700	1100	600	0.647058824	6
1700	1144	556	0.672941176	5.56
1700	1155	545	0.679411765	5.45
1700	1210	490	0.711764706	4.9
1700	1243	457	0.731176471	4.57
1700	1254	446	0.737647059	4.46
1700	1298	402	0.763529412	4.02
1700	1331	369	0.782941176	3.69
1700	1364	336	0.802352941	3.36
1700	1408	292	0.828235294	2.92
1700	1430	270	0.841176471	2.7
1700	1485	215	0.873529412	2.15
2000	1254	746	0.627	7.46
2000	1309	691	0.6545	6.91
2000	1364	636	0.682	6.36
2000	1397	603	0.6985	6.03
2000	1408	592	0.704	5.92
2000	1474	526	0.737	5.26
2000	1496	504	0.748	5.04
2000	1562	438	0.781	4.38
2000	1573	427	0.7865	4.27
2000	1606	394	0.803	3.94
2000	1650	350	0.825	3.5
2000	1716	284	0.858	2.84
2300	1452	848	0.631304348	8.48
2300	1408	892	0.612173913	8.92
2300	1551	749	0.674347826	7.49
2300	1595	705	0.693478261	7.05
2300	1650	650	0.717391304	6.5
2300	1672	628	0.726956522	6.28
2300	1683	617	0.73173913	6.17
2300	1716	584	0.746086957	5.84
2300	1749	551	0.760434783	5.51
2300	1771	529	0.77	5.29
2300	1804	496	0.784347826	4.96
2300	1870	430	0.813043478	4.3
2300	1947	353	0.846521739	3.53
2600	1650	950	0.634615385	9.5
2600	1738	862	0.668461538	8.62
2600	1749	851	0.672692308	8.51
2600	1804	796	0.693846154	7.96
2600	1848	752	0.710769231	7.52
2600	1881	719	0.723461538	7.19
2600	1925	675	0.740384615	6.75
2600	1969	631	0.757307692	6.31
2600	2013	587	0.774230769	5.87
2600	2035	565	0.782692308	5.65
2600	2101	499	0.808076923	4.99
2600	2112	488	0.812307692	4.88
2600	2200	400	0.846153846	4
2900	1969	931	0.678965517	9.31
2900	1991	909	0.686551724	9.09
2900	2046	854	0.705517241	8.54
2900	2068	832	0.713103448	8.32
2900	2101	799	0.724482759	7.99
2900	2101	799	0.724482759	7.99
2900	2233	667	0.77	6.67
2900	2244	656	0.773793103	6.56
2900	2299	601	0.792758621	6.01
2900	2310	590	0.796551724	5.9
3200	2090	1110	0.653125	11.1
3200	2134	1066	0.666875	10.66
3200	2178	1022	0.680625	10.22
3200	2266	934	0.708125	9.34
3200	2354	846	0.735625	8.46
3200	2354	846	0.735625	8.46
3200	2552	648	0.7975	6.48
3200	2585	615	0.8078125	6.15
3200	2640	560	0.825	5.6
3500	2299	1201	0.656857143	12.01
3500	2321	1179	0.663142857	11.79
3500	2530	970	0.722857143	9.7
3500	2629	871	0.751142857	8.71
3500	2860	640	0.817142857	6.4
3500	2860	640	0.817142857	6.4
